ORF	Counts	Sample
KLMA_10471	238	SK10
KLMA_10472	6	SK10
KLMA_10473	214	SK10
KLMA_10475	4044	SK10
KLMA_10476	559	SK10
KLMA_10477	519	SK10
KLMA_10478	770	SK10
KLMA_10479	246	SK10
KLMA_10480	1659	SK10
KLMA_10481	151	SK10
KLMA_10482	831	SK10
KLMA_10483	8478	SK10
KLMA_10484	720	SK10
KLMA_10486	356	SK10
KLMA_10487	4704	SK10
KLMA_10488	626	SK10
KLMA_10489	795	SK10
KLMA_10491	3372	SK10
KLMA_10493	486	SK10
KLMA_10494	307	SK10
KLMA_10495	639	SK10
KLMA_10496	182	SK10
KLMA_10497	819	SK10
KLMA_10498	2848	SK10
KLMA_10499	11286	SK10
KLMA_10500	2015	SK10
KLMA_10501	497	SK10
KLMA_10502	356	SK10
KLMA_10503	1135	SK10
KLMA_10504	83	SK10
KLMA_10505	5553	SK10
KLMA_10506	843	SK10
KLMA_10507	1293	SK10
KLMA_10508	794	SK10
KLMA_10509	67	SK10
KLMA_10510	387	SK10
KLMA_10511	476	SK10
KLMA_10512	401	SK10
KLMA_10513	1481	SK10
KLMA_10514	15255	SK10
KLMA_10515	177	SK10
KLMA_10516	224	SK10
KLMA_10517	1478	SK10
KLMA_10518	3095	SK10
KLMA_10519	168	SK10
KLMA_10520	113	SK10
KLMA_10521	6	SK10
KLMA_10522	2114	SK10
KLMA_10523	109	SK10
KLMA_10524	8694	SK10
KLMA_10525	92	SK10
KLMA_10526	98	SK10
KLMA_10527	402	SK10
KLMA_10528	178	SK10
KLMA_10529	4	SK10
KLMA_10530	1136	SK10
KLMA_10531	2379	SK10
KLMA_10532	1662	SK10
KLMA_10533	783	SK10
KLMA_10534	1455	SK10
KLMA_10535	549	SK10
KLMA_10536	247	SK10
KLMA_10537	977	SK10
KLMA_10538	0	SK10
KLMA_10539	3269	SK10
KLMA_10540	894851	SK10
KLMA_10541	277	SK10
KLMA_10542	13	SK10
KLMA_10543	113	SK10
KLMA_10544	107	SK10
KLMA_10545	4	SK10
KLMA_10546	15	SK10
KLMA_10547	29	SK10
KLMA_10548	2804	SK10
KLMA_10549	175	SK10
KLMA_10550	3227	SK10
KLMA_10551	85	SK10
KLMA_10552	382	SK10
KLMA_10553	2006	SK10
KLMA_10554	24	SK10
KLMA_10555	4	SK10
KLMA_10556	1193	SK10
KLMA_10557	392	SK10
KLMA_10558	355	SK10
KLMA_10559	493	SK10
KLMA_10560	1314	SK10
KLMA_10561	15863	SK10
KLMA_10562	279	SK10
KLMA_10563	485	SK10
KLMA_10564	305	SK10
KLMA_10565	850	SK10
KLMA_10566	416	SK10
KLMA_10567	102	SK10
KLMA_10568	472	SK10
KLMA_10569	1585	SK10
KLMA_10570	131	SK10
KLMA_10571	462	SK10
KLMA_10572	9227	SK10
KLMA_10573	1200	SK10
KLMA_10574	610	SK10
KLMA_10575	642	SK10
KLMA_10576	1092	SK10
KLMA_10577	33734	SK10
KLMA_10578	775	SK10
KLMA_10579	980	SK10
KLMA_10580	331	SK10
KLMA_10581	1561	SK10
KLMA_10582	1111	SK10
KLMA_10583	623	SK10
KLMA_10584	473	SK10
KLMA_10585	1417	SK10
KLMA_10586	286	SK10
KLMA_10587	4495	SK10
KLMA_10588	1368	SK10
KLMA_10589	168	SK10
KLMA_10590	343	SK10
KLMA_10591	233	SK10
KLMA_10592	599	SK10
KLMA_10593	2469	SK10
KLMA_10594	1195	SK10
KLMA_10595	1251	SK10
KLMA_10596	31	SK10
KLMA_10597	1147	SK10
KLMA_10598	22	SK10
KLMA_10599	3276	SK10
KLMA_10600	332	SK10
KLMA_10601	112	SK10
KLMA_10602	129	SK10
KLMA_10603	141	SK10
KLMA_10604	3923	SK10
KLMA_10605	546	SK10
KLMA_10606	974	SK10
KLMA_10607	2735	SK10
KLMA_10608	293	SK10
KLMA_10609	2727	SK10
KLMA_10610	3489	SK10
KLMA_10611	97	SK10
KLMA_10612	8104	SK10
KLMA_10613	320	SK10
KLMA_10614	597	SK10
KLMA_10615	723	SK10
KLMA_10616	2344	SK10
KLMA_10617	914	SK10
KLMA_10618	1198	SK10
KLMA_10619	687	SK10
KLMA_10620	1135	SK10
KLMA_10621	1296	SK10
KLMA_10622	319	SK10
KLMA_10623	807	SK10
KLMA_10624	214	SK10
KLMA_10625	310	SK10
KLMA_10626	214	SK10
KLMA_10627	348	SK10
KLMA_10628	1484	SK10
KLMA_10629	2199	SK10
KLMA_10630	1255	SK10
KLMA_10631	1613	SK10
KLMA_10632	0	SK10
KLMA_10633	1832	SK10
KLMA_10634	403	SK10
KLMA_10635	174	SK10
KLMA_10636	722	SK10
KLMA_10637	5	SK10
KLMA_10638	1391	SK10
KLMA_10639	711	SK10
KLMA_10640	206	SK10
KLMA_10641	2520	SK10
KLMA_10642	2122	SK10
KLMA_10643	2402	SK10
KLMA_10645	1063	SK10
KLMA_10646	471	SK10
KLMA_10647	15	SK10
KLMA_10648	2171	SK10
KLMA_10649	195	SK10
KLMA_10650	61	SK10
KLMA_10651	424	SK10
KLMA_10652	44838	SK10
KLMA_10653	721	SK10
KLMA_10654	147	SK10
KLMA_10655	227	SK10
KLMA_10656	773	SK10
KLMA_10657	152	SK10
KLMA_10658	626	SK10
KLMA_10659	14241	SK10
KLMA_10660	2665	SK10
KLMA_10661	1662	SK10
KLMA_10662	546	SK10
KLMA_10663	1823	SK10
KLMA_10664	850	SK10
KLMA_10666	79	SK10
KLMA_10667	313	SK10
KLMA_10668	343	SK10
KLMA_10669	694	SK10
KLMA_10670	12760	SK10
KLMA_10671	4511	SK10
KLMA_10672	834	SK10
KLMA_10673	418	SK10
KLMA_10674	1089	SK10
KLMA_10675	388	SK10
KLMA_10676	303	SK10
KLMA_10677	17459	SK10
KLMA_10678	1896	SK10
KLMA_10679	562	SK10
KLMA_10680	2278	SK10
KLMA_10681	3764	SK10
KLMA_10682	9287	SK10
KLMA_10683	5065	SK10
KLMA_10684	1340	SK10
KLMA_10685	1371	SK10
KLMA_10686	942	SK10
KLMA_10687	234	SK10
KLMA_10688	357	SK10
KLMA_10689	845	SK10
KLMA_10690	452	SK10
KLMA_10691	161	SK10
KLMA_10692	603	SK10
KLMA_10693	520	SK10
KLMA_10694	1307	SK10
KLMA_10695	8428	SK10
KLMA_10696	1209	SK10
KLMA_10697	260	SK10
KLMA_10698	12261	SK10
KLMA_10699	535	SK10
KLMA_10700	57088	SK10
KLMA_10701	60555	SK10
KLMA_10702	25615	SK10
KLMA_10703	2094	SK10
KLMA_10704	254	SK10
KLMA_10705	915	SK10
KLMA_10706	2043	SK10
KLMA_10707	1693	SK10
KLMA_10708	16060	SK10
KLMA_10709	824	SK10
KLMA_10710	7306	SK10
KLMA_10711	498	SK10
KLMA_10712	7114	SK10
KLMA_10713	1050	SK10
KLMA_10714	530	SK10
KLMA_10715	117	SK10
KLMA_10716	522	SK10
KLMA_10717	10603	SK10
KLMA_10718	1256	SK10
KLMA_10719	531	SK10
KLMA_10720	290	SK10
KLMA_10721	2365	SK10
KLMA_10722	134	SK10
KLMA_10723	3457	SK10
KLMA_10724	158	SK10
KLMA_10725	158	SK10
KLMA_10726	473	SK10
KLMA_10727	483	SK10
KLMA_10728	304	SK10
KLMA_10729	1580	SK10
KLMA_10730	304	SK10
KLMA_10731	1348	SK10
KLMA_10732	1046	SK10
